ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-08-31,58441.07431005966,40395.2016846818,59110.86972053906,58441.07431005966,58441.07431005966,-8643.81776926693,-8643.81776926693,-8643.81776926693,-8643.81776926693,-8643.81776926693,-8643.81776926693,0.0,0.0,0.0,49797.25654079273
2017-09-30,59139.6865042911,78560.03597230076,97079.03300873752,59139.6865042911,59139.6865042911,28378.789814851603,28378.789814851603,28378.789814851603,28378.789814851603,28378.789814851603,28378.789814851603,0.0,0.0,0.0,87518.4763191427
2017-10-31,59861.5857716636,56084.51045014459,74787.49013729239,59861.5857716636,59861.5857716636,5409.624143602469,5409.624143602469,5409.624143602469,5409.624143602469,5409.624143602469,5409.624143602469,0.0,0.0,0.0,65271.209915266074
2017-11-30,60560.19796589503,89768.01390280885,108432.18835358162,60560.19796589503,60560.19796589503,38496.267124271864,38496.267124271864,38496.267124271864,38496.267124271864,38496.267124271864,38496.267124271864,0.0,0.0,0.0,99056.4650901669
2017-12-31,61282.097233267516,85058.5592198948,103093.88741783636,61282.097233267516,61282.097233267516,32474.81216472428,32474.81216472428,32474.81216472428,32474.81216472428,32474.81216472428,32474.81216472428,0.0,0.0,0.0,93756.9093979918
2018-01-31,62003.99650064001,35538.51544875996,54004.61938629037,61999.927396545514,62008.05375335232,-17512.89519363959,-17512.89519363959,-17512.89519363959,-17512.89519363959,-17512.89519363959,-17512.89519363959,0.0,0.0,0.0,44491.10130700042
2018-02-28,62656.034548589356,26157.7789919309,44638.42371077696,62643.2535961676,62670.3517679328,-26994.700230365583,-26994.700230365583,-26994.700230365583,-26994.700230365583,-26994.700230365583,-26994.700230365583,0.0,0.0,0.0,35661.33431822377
2018-03-31,63377.93381596185,62838.959976909224,81193.33438799369,63351.11915893144,63405.672639488475,8581.936343479889,8581.936343479889,8581.936343479889,8581.936343479889,8581.936343479889,8581.936343479889,0.0,0.0,0.0,71959.87015944174
2018-04-30,64076.5460101933,46640.56789186472,64251.641549808446,64032.42464655948,64121.61113761871,-8134.451140178141,-8134.451140178141,-8134.451140178141,-8134.451140178141,-8134.451140178141,-8134.451140178141,0.0,0.0,0.0,55942.09487001516
2018-05-31,64798.44527756578,47096.714437200375,65056.17190968232,64739.52176086135,64865.970531768246,-8605.359945073382,-8605.359945073382,-8605.359945073382,-8605.359945073382,-8605.359945073382,-8605.359945073382,0.0,0.0,0.0,56193.085332492396
2018-06-30,65497.05747179722,47593.12626253244,65697.42172543785,65421.15565365434,65587.20783040156,-8109.00465913318,-8109.00465913318,-8109.00465913318,-8109.00465913318,-8109.00465913318,-8109.00465913318,0.0,0.0,0.0,57388.05281266404
2018-07-31,66218.9567391697,47659.359879831136,65823.62819877862,66123.34095060374,66333.16383240651,-8902.85137227923,-8902.85137227923,-8902.85137227923,-8902.85137227923,-8902.85137227923,-8902.85137227923,0.0,0.0,0.0,57316.10536689048
2018-08-31,66940.8560065422,51992.74874961689,71289.44086296576,66825.38723920619,67077.63731097893,-5004.608947069942,-5004.608947069942,-5004.608947069942,-5004.608947069942,-5004.608947069942,-5004.608947069942,0.0,0.0,0.0,61936.24705947226
2018-09-30,67639.46820077366,89508.74139466797,108842.20979030544,67498.42500069614,67799.40710553312,31256.164552604598,31256.164552604598,31256.164552604598,31256.164552604598,31256.164552604598,31256.164552604598,0.0,0.0,0.0,98895.63275337825
2018-10-31,68361.36746814614,58035.72365991378,76409.95702773707,68196.65294606323,68554.71516061155,-807.5145052109168,-807.5145052109168,-807.5145052109168,-807.5145052109168,-807.5145052109168,-807.5145052109168,0.0,0.0,0.0,67553.85296293523
2018-11-30,69059.97966237758,100296.38422563598,119205.46491970913,68865.69791938503,69284.33384411037,40912.89845237389,40912.89845237389,40912.89845237389,40912.89845237389,40912.89845237389,40912.89845237389,0.0,0.0,0.0,109972.87811475147
2018-12-31,69781.87892975006,93015.02623205412,111524.47275713188,69560.77729597063,70035.93303820581,32082.77853926805,32082.77853926805,32082.77853926805,32082.77853926805,32082.77853926805,32082.77853926805,0.0,0.0,0.0,101864.65746901812
